,site_id,c_id
0,S0023,S0023
1,S0026,S0026
2,S0029,S0029
3,S0030,S0030
4,S0031,S0031
5,S0042,S0042
6,S0059,S0059
7,S0061,S0061
8,S0069,S0069
9,S0078,S0078
10,S0089,S0089
11,S0093,S0093
12,S0109,S0109
13,S0123,S0123
14,S0127,S0127
15,S0143,S0143
16,S0150,S0150
17,S0152,S0152
18,S0157,S0157
19,S0159,S0159
20,S0165,S0165
21,S0171,S0171
22,S0175,S0175
23,S0178,S0178
24,S0180,S0180
25,S0183,S0183
26,S0184,S0184
27,S0186,S0186
28,S0187,S0187
29,S0193,S0193
30,S0204,S0204
31,S0207,S0207
32,S0235,S0235
33,S0237,S0237
34,S0255,S0255
35,S0268,S0268
36,S0288,S0288
37,S0290,S0290
38,S0291,S0291
39,S0296,S0296
40,S0297,S0297
41,S0309,S0309
42,S0312,S0312
43,S0324,S0324
44,S0325,S0325
45,S0331,S0331
46,S0338,S0338
47,S0343,S0343
48,S0351,S0351
49,S0354,S0354
50,S0357,S0357
51,S0360,S0360
52,S0361,S0361
53,S0365,S0365
54,S0368,S0368
55,S0372,S0372
56,S0378,S0378
57,S0379,S0379
58,S0382,S0382
59,S0383,S0383
60,S0386,S0386
61,S0388,S0388
62,S0390,S0390
63,S0391,S0391
64,S0392,S0392
65,S0397,S0397
66,S0399,S0399
67,S0400,S0400
68,S0404,S0404
69,S0407,S0407
70,S0416,S0416
71,S0422,S0422
72,S0423,S0423
73,S0440,S0440
74,S0451,S0451
75,S0456,S0456
76,S0461,S0461
77,S0462,S0462
78,S0463,S0463
79,S0466,S0466
80,S0471,S0471
81,S0475,S0475
82,S0476,S0476
83,S0477,S0477
84,S0485,S0485
85,S0489,S0489
86,S0490,S0490
87,S0491,S0491
88,S0493,S0493
89,S0498,S0498
90,S0499,S0499
91,S0503,S0503
92,S0504,S0504
93,S0507,S0507
94,S0508,S0508
95,S0509,S0509
96,S0518,S0518
97,S0519,S0519
98,S0522,S0522
99,S0542,S0542
100,S0545,S0545
101,S0549,S0549
102,S0550,S0550
103,S0554,S0554
104,S0555,S0555
105,S0556,S0556
106,S0561,S0561
107,S0572,S0572
108,S0574,S0574
109,S0575,S0575
110,S0576,S0576
111,S0586,S0586
112,S0593,S0593
113,S0594,S0594
114,S0597,S0597
115,W0002,W0002
116,W0004,W0004
117,W0006,W0006
118,W0016,W0016
119,W0017,W0017
120,W0022,W0022
121,W0032,W0032
122,W0039,W0039
123,W0040,W0040
124,W0046,W0046
125,W0052,W0052
126,W0055,W0055
127,W0059,W0059
128,W0071,W0071
129,W0093,W0093
130,W0115,W0115
131,W0134,W0134
132,W0144,W0144
133,W0160,W0160
134,W0161,W0161
135,W0170,W0170
136,W0188,W0188
137,W0197,W0197
138,W0223,W0223
139,W0224,W0224
140,W0246,W0246
141,W0248,W0248
142,W0252,W0252
143,W0257,W0257
144,W0273,W0273
145,W0314,W0314
146,W0325,W0325
147,W0331,W0331
148,W0352,W0352
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
