site_id,c_id,con_type,polarity,,,,,,,,,,,,,,,,,,
S0023,S0023,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0026,S0026,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0029,S0029,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0030,S0030,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0031,S0031,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0042,S0042,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0059,S0059,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0061,S0061,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0069,S0069,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0078,S0078,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0089,S0089,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0093,S0093,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0109,S0109,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0123,S0123,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0127,S0127,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0143,S0143,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0150,S0150,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0152,S0152,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0157,S0157,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0159,S0159,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0165,S0165,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0171,S0171,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0175,S0175,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0178,S0178,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0180,S0180,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0183,S0183,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0184,S0184,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0186,S0186,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0187,S0187,pv_site_net,1,,,,,,,,,,,,,,,,,,
S0193,S0193,pv_site_net,1,,,,,,,,,,,,,,,,,,
