timestamp,postcode,surface_global_irradiance,direct_normal_irradiance,surface_diffuse_irradiance,quality_mask,cloud_type,cloud_optical_depth,solar_elevation,solar_azimuth
31/12/2022 19:30,5011,0,0,0,1,0,0,-0.4,118.8
31/12/2022 19:40,5011,13.05,115.72,10.11,1,0,0,1.5,117.4
31/12/2022 19:50,5011,33.17,253.21,18.65,1,0,0,3.3,116
31/12/2022 20:00,5011,55.39,350.29,24,1,0,0,5.1,114.6
31/12/2022 20:10,5011,84.47,440.88,30.62,1,0,0,7,113.3
31/12/2022 20:20,5011,115.51,512.39,36.16,1,0,0,8.9,112
31/12/2022 20:30,5011,148.34,571.66,41.04,1,0,0,10.8,110.7
31/12/2022 20:40,5011,182.78,622.37,45.49,1,0,0,12.7,109.4
31/12/2022 20:50,5011,218.1,665.33,49.43,1,0,0,14.7,108.1
31/12/2022 21:00,5011,254.37,702.78,53.11,1,0,0,16.6,106.8
31/12/2022 21:10,5011,291.19,735.5,56.48,1,0,0,18.6,105.6
31/12/2022 21:20,5011,328.32,764.23,59.56,1,0,0,20.6,104.4
31/12/2022 21:30,5011,365.6,789.68,62.37,1,0,0,22.6,103.1
31/12/2022 21:40,5011,402.9,812.36,64.96,1,0,0,24.6,101.9
31/12/2022 21:50,5011,440.11,832.7,67.35,1,0,0,26.6,100.6
31/12/2022 22:00,5011,477.09,851.03,69.55,1,0,0,28.6,99.4
31/12/2022 22:10,5011,513.74,867.55,71.63,1,0,0,30.6,98.1
31/12/2022 22:20,5011,549.95,882.41,73.62,1,0,0,32.7,96.9
31/12/2022 22:30,5011,585.63,895.96,75.47,1,0,0,34.7,95.6
31/12/2022 22:40,5011,620.69,908.33,77.2,1,0,0,36.8,94.3
31/12/2022 22:50,5011,655.03,919.65,78.82,1,0,0,38.8,93
31/12/2022 23:00,5011,688.58,930.03,80.33,1,0,0,40.8,91.6
31/12/2022 23:10,5011,721.25,939.56,81.74,1,0,0,42.9,90.2
31/12/2022 23:20,5011,752.96,948.31,83.05,1,0,0,44.9,88.8
31/12/2022 23:30,5011,783.64,956.35,84.29,1,0,0,47,87.3
31/12/2022 23:40,5011,813.21,963.73,85.43,1,0,0,49,85.7
31/12/2022 23:50,5011,841.6,970.51,86.5,1,0,0,51.1,84
1/01/2023 0:00,5011,868.75,976.73,87.5,1,0,0,53.1,82.3
1/01/2023 0:10,5011,894.61,982.46,88.42,1,0,0,55.1,80.4
1/01/2023 0:20,5011,919.11,987.69,89.27,1,0,0,57.2,78.4
1/01/2023 0:30,5011,942.19,992.47,90.06,1,0,0,59.2,76.3
1/01/2023 0:40,5011,963.8,996.81,90.78,1,0,0,61.1,73.9
1/01/2023 0:50,5011,983.88,1000.74,91.44,1,0,0,63.1,71.4
1/01/2023 1:00,5011,1002.41,1004.28,92.04,1,0,0,65,68.5
1/01/2023 1:10,5011,1019.32,1007.45,92.58,1,0,0,66.9,65.3
1/01/2023 1:20,5011,1034.58,1010.26,93.06,1,0,0,68.7,61.6
1/01/2023 1:30,5011,1048.17,1012.72,93.48,1,0,0,70.5,57.3
1/01/2023 1:40,5011,1060.03,1014.85,93.85,1,0,0,72.2,52.4
1/01/2023 1:50,5011,1070.17,1016.66,94.16,1,0,0,73.7,46.6
1/01/2023 2:00,5011,1078.55,1018.14,94.41,1,0,0,75.2,39.8
1/01/2023 2:10,5011,1085.15,1019.32,94.61,1,0,0,76.4,31.9
1/01/2023 2:20,5011,1089.96,1020.19,94.76,1,0,0,77.3,22.6
1/01/2023 2:30,5011,1092.97,1020.76,94.85,1,0,0,77.9,12.3
1/01/2023 2:50,5011,1093.53,1021,94.86,1,0,0,78,350.1
1/01/2023 3:00,5011,1091.09,1020.67,94.78,1,0,0,77.5,339.6
1/01/2023 3:10,5011,1087.02,1020.22,94.65,1,0,0,76.6,330.1
1/01/2023 3:20,5011,1081.16,1019.47,94.46,1,0,0,75.4,321.8
1/01/2023 3:30,5011,1073.51,1018.41,94.22,1,0,0,74.1,314.8
1/01/2023 3:40,5011,1064.08,1017.04,93.92,1,0,0,72.5,308.8
1/01/2023 3:50,5011,1052.91,1015.34,93.56,1,0,0,70.9,303.7
1/01/2023 4:00,5011,1040.01,1013.31,93.15,1,0,0,69.1,299.3
1/01/2023 4:10,5011,1025.41,1010.95,92.68,1,0,0,67.3,295.5
1/01/2023 4:20,5011,1009.15,1008.23,92.16,1,0,0,65.4,292.2
1/01/2023 4:30,5011,991.25,1005.14,91.57,1,0,0,63.5,289.3
1/01/2023 4:40,5011,971.77,1001.67,90.92,1,0,0,61.6,286.6
1/01/2023 4:50,5011,950.75,997.79,90.21,1,0,0,59.6,284.2
1/01/2023 5:00,5011,928.22,993.49,89.44,1,0,0,57.6,282
1/01/2023 5:10,5011,904.24,988.74,88.6,1,0,0,55.6,280
1/01/2023 5:20,5011,878.87,983.51,87.69,1,0,0,53.6,278.1
1/01/2023 5:30,5011,852.16,977.77,86.71,1,0,0,51.5,276.4
1/01/2023 5:40,5011,824.23,971.55,85.66,1,0,0,49.5,274.7
1/01/2023 5:50,5011,795.11,964.76,84.54,1,0,0,47.4,273.1
1/01/2023 6:00,5011,764.83,957.34,83.33,1,0,0,45.4,271.6
1/01/2023 6:10,5011,733.35,949.03,82.04,1,0,0,43.3,270.1
